# Integrated yields for Nomoto 06 Type II, with HN only for high mass stars.
# Integrated from 0.07 to 50 solar masses using the Kroupa IMF.
# elt  Z=0           Z=0.001       Z=0.004       Z=0.02        
H_1    5.43E-02      5.21E-02      4.97E-02      4.28E-02      
H_2    1.57E-17      3.64E-15      5.51E-16      1.49E-15      
He_3   4.75E-07      8.90E-07      1.10E-06      1.24E-06      
He_4   3.77E-02      3.73E-02      3.72E-02      3.55E-02      
Li_6   4.83E-20      3.82E-19      1.82E-18      4.94E-18      
Li_7   1.98E-11      1.18E-12      3.65E-15      1.03E-13      
Be_9   3.28E-20      1.23E-18      1.28E-18      1.85E-18      
B_10   6.44E-17      4.16E-14      2.67E-13      7.68E-13      
B_11   1.44E-15      1.85E-13      3.08E-12      3.31E-12      
C_12   1.19E-03      6.96E-04      7.48E-04      9.69E-04      
C_13   3.52E-10      6.74E-07      4.86E-05      5.39E-05      
N_14   5.78E-06      4.70E-05      1.47E-04      4.06E-04      
N_15   8.08E-10      2.33E-08      4.19E-05      3.33E-05      
O_16   1.14E-02      1.19E-02      9.17E-03      8.60E-03      
O_17   5.99E-09      2.46E-07      1.42E-06      6.23E-06      
O_18   1.10E-08      3.87E-06      4.64E-05      8.73E-05      
F_19   7.39E-11      1.04E-08      8.76E-08      1.91E-07      
Ne_20  1.98E-03      2.28E-03      1.95E-03      2.08E-03      
Ne_21  1.77E-07      1.12E-06      2.42E-06      7.51E-06      
Ne_22  1.14E-07      5.67E-06      1.24E-05      4.54E-05      
Na_23  7.18E-06      1.37E-05      2.41E-05      6.35E-05      
Mg_24  8.76E-04      9.81E-04      7.48E-04      6.30E-04      
Mg_25  1.54E-06      9.00E-06      2.33E-05      7.92E-05      
Mg_26  1.50E-06      8.35E-06      2.27E-05      7.46E-05      
Al_26  2.78E-08      4.41E-08      6.31E-08      2.12E-07      
Al_27  1.68E-05      3.39E-05      4.10E-05      8.62E-05      
Si_28  1.06E-03      9.81E-04      9.58E-04      7.83E-04      
Si_29  4.86E-06      8.91E-06      1.35E-05      3.36E-05      
Si_30  4.47E-06      9.87E-06      1.53E-05      4.04E-05      
P_31   1.67E-06      3.03E-06      3.68E-06      9.86E-06      
S_32   3.84E-04      3.95E-04      3.77E-04      3.32E-04      
S_33   1.19E-06      1.75E-06      2.40E-06      3.44E-06      
S_34   2.33E-06      5.47E-06      1.21E-05      2.91E-05      
S_36   5.83E-11      3.46E-09      2.56E-08      1.25E-07      
Cl_35  2.99E-07      5.15E-07      6.86E-07      1.57E-06      
Cl_37  1.07E-07      1.54E-07      2.59E-07      6.91E-07      
Ar_36  5.50E-05      5.77E-05      5.63E-05      4.90E-05      
Ar_38  9.45E-07      1.83E-06      4.32E-06      9.15E-06      
Ar_40  3.71E-13      8.91E-10      6.99E-09      2.08E-08      
K_39   1.54E-07      2.37E-07      3.99E-07      6.58E-07      
K_40   1.61E-11      1.18E-10      2.26E-10      1.47E-09      
K_41   2.29E-08      3.18E-08      4.15E-08      7.78E-08      
Ca_40  4.32E-05      4.47E-05      4.34E-05      3.68E-05      
Ca_42  2.28E-08      4.79E-08      1.03E-07      2.26E-07      
Ca_43  6.04E-10      2.51E-09      5.83E-09      1.78E-08      
Ca_44  4.06E-07      5.00E-07      3.66E-07      5.32E-07      
Ca_46  5.40E-14      3.52E-10      1.74E-09      6.29E-09      
