# Nomoto, Leung 2018 W7 model.
# copied from the paper, as the tables online are not the ones in the paper.
# columns of isotope, then yield in solar masses for the two metallicities.
# isotope    yield_Z_sun    yield_0.1Z_sun
12C          5.20E-2        5.44E-2
13C          1.81E-11       1.37E-12
14N          9.56E-10       8.11E-10
15N          1.35E-10       1.41E-8
16O          1.85E-1        1.35E-1
17O          1.75E-10       1.27E-11
18O          7.4E-12        7.45E-13
19F          4.54E-12       3.89E-12
20Ne         1.62E-3        1.64E-3
21Ne         6.97E-8        3.16E-9
22Ne         2.73E-3        2.73E-4
23Na         6.61E-6        2.56E-6
24Mg         4.26E-3        9.74E-3
25Mg         1.81E-5        2.78E-6
26Mg         2.35E-5        2.96E-6
26Al         2.60E-10       5.4E-28
27Al         4.50E-4        1.75E-4
28Si         1.55E-1        1.43E-1
29Si         7.73E-4        1.91E-4
30Si         1.64E-3        7.10E-5
31P          3.94E-4        5.76E-5
32S          7.80E-2        8.29E-2
33S          3.77E-4        1.16E-4
34S          2.20E-3        1.17E-4
36S          2.94E-7        2.25E-9
35Cl         1.25E-4        1.73E-5
37Cl         2.28E-5        8.36E-6
36Ar         1.33E-2        1.77E-2
38Ar         8.75E-4        5.15E-5
40Ar         7.39E-9        1.55E-11
39K          6.57E-5        1.18E-5
40K          8.27E-8        2.0E-9
41K          4.8E-6         1.45E-6
40Ca         1.15E-2        1.74E-2
42Ca         2.66E-5        1.49E-6
43Ca         1.49E-7        4.70E-8
44Ca         9.17E-6        1.42E-5
46Ca         3.26E-10       4.35E-11
48Ca         2.19E-12       2.9E-12
45Sc         2.81E-7        9.74E-8
46Ti         1.27E-5        8.69E-7
47Ti         5.74E-7        1.39E-7
48Ti         2.51E-4        3.66E-4
49Ti         2.23E-5        1.53E-5
50Ti         9.60E-6        9.33E-6
50V          1.84E-8        6.94E-9
51V          9.47E-5        5.84E-5
50Cr         3.74E-4        1.54E-4
52Cr         8.59E-3        1.3E-2
53Cr         1.11E-3        8.73E-4
54Cr         1.30E-4        1.26E-4
55Mn         1.36E-2        1.3E-2
54Fe         1.15E-1        8.82E-2
56Fe         6.68E-1        7.24E-1
57Fe         1.96E-2        1.51E-2
58Fe         5.46E-4        5.32E-4
60Fe         7.33E-10       6.97E-10
59Co         5.20E-4        4.29E-4
58Ni         6.80E-2        4.71E-2
60Ni         4.51E-3        5.39E-3
61Ni         5.81E-5        5.77E-5
62Ni         7.3E-4         3.83E-4
64Ni         4.17E-7        4.6E-7
63Cu         5.15E-7        3.57E-7
65Cu         1.96E-7        1.96E-7
64Zn         1.34E-6        4.20E-6
66Zn         3.42E-6        1.14E-6
67Zn         2.28E-9        4.24E-10
68Zn         1.29E-9        2.95E-9
70Zn         2.93E-14       2.85E-14
