elt   P30A      P30B      P35A      P35B      P35C      P40A      P40B      P40C    
KE    1.24      1.86      1.21      1.88      2.44      1.23      2.01      2.45    
1H    11.4      11.4      12.4      12.4      12.4      13.3      13.3      13.3      
4He   10.5      10.5      12.0      12.0      12.1      14.0      14.0      14.0      
2H    1.54E-04  1.54E-04  1.60E-04  1.60E-04  1.60E-04  1.70E-04  1.70E-04  1.70E-04  
3He   8.90E-04  8.90E-04  1.00E-03  1.00E-03  1.00E-03  1.09E-03  1.09E-03  1.09E-03  
7Li   2.90E-07  2.25E-07  1.97E-07  1.45E-07  1.20E-07  2.16E-07  1.70E-07  1.54E-07  
7Be   3.80E-07  3.39E-07  4.30E-07  3.76E-07  3.47E-07  4.03E-07  3.48E-07  3.28E-07  
9Be   2.11E-12  1.96E-12  6.27E-13  4.23E-13  3.28E-13  1.27E-12  9.97E-13  9.13E-13  
10B   1.08E-10  1.08E-10  1.09E-10  1.02E-10  1.40E-10  1.21E-10  1.38E-10  1.80E-10  
11B   6.01E-07  5.53E-07  4.34E-07  4.65E-07  4.45E-07  4.25E-07  6.58E-07  6.37E-07  
11C   2.31E-07  1.91E-07  2.18E-07  2.75E-07  2.65E-07  2.31E-07  4.62E-07  4.71E-07  
12C   3.04E-01  3.04E-01  3.19E-01  3.34E-01  3.33E-01  3.37E-01  3.99E-01  4.00E-01  
13C   1.21E-04  1.21E-04  1.36E-04  1.35E-04  1.35E-04  1.54E-04  1.54E-04  1.54E-04  
14C   5.43E-07  5.73E-07  5.57E-07  6.01E-07  6.07E-07  6.30E-07  7.50E-07  7.45E-07 
13N   0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  
14N   1.08E-02  1.08E-02  1.29E-02  1.29E-02  1.29E-02  1.59E-02  1.59E-02  1.59E-02  
15N   1.35E-04  1.42E-04  6.62E-05  1.81E-04  1.83E-04  4.33E-05  1.85E-04  2.17E-04  
16O   4.11      4.42      3.10      5.78      5.98      2.72      6.25      7.15      
17O   3.78E-05  3.78E-05  4.28E-05  4.28E-05  4.28E-05  4.72E-05  4.73E-05  4.73E-05  
18O   8.27E-05  8.16E-05  1.09E-05  1.06E-05  1.04E-05  7.78E-06  7.54E-06  7.45E-06  
19F   8.21E-05  7.47E-05  6.65E-05  1.03E-04  9.84E-05  7.14E-05  1.97E-04  1.90E-04  
20Ne  6.38E-01  6.26E-01  4.92E-01  8.01E-01  7.91E-01  6.03E-01  1.46      1.45      
21Ne  1.07E-04  1.03E-04  1.69E-04  2.45E-04  2.41E-04  2.81E-04  5.85E-04  5.78E-04  
22Ne  5.01E-03  5.01E-03  5.48E-03  5.48E-03  5.47E-03  5.64E-03  5.69E-03  5.68E-03  
22Na  4.41E-06  4.33E-06  4.41E-06  7.11E-06  7.01E-06  1.02E-05  2.07E-05  2.06E-05  
23Na  2.90E-03  2.86E-03  3.79E-03  5.33E-03  5.25E-03  7.00E-03  1.37E-02  1.36E-02  
24Na  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
24Mg  3.20E-01  3.36E-01  1.45E-01  3.45E-01  3.48E-01  7.75E-02  2.67E-01  3.27E-01  
25Mg  3.84E-03  3.79E-03  2.96E-03  4.63E-03  4.59E-03  2.86E-03  6.65E-03  6.68E-03  
26Mg  4.41E-03  4.35E-03  3.83E-03  5.53E-03  5.47E-03  3.75E-03  8.39E-03  8.34E-03  
26Al  1.44E-04  1.43E-04  9.29E-05  2.91E-04  2.89E-04  2.31E-05  2.47E-04  2.68E-04  
27Al  1.70E-02  1.76E-02  8.30E-03  1.92E-02  1.93E-02  4.78E-03  1.56E-02  1.83E-02  
28Al  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
28Si  7.20E-02  2.06E-01  2.44E-02  1.06E-01  3.56E-01  7.81E-03  2.68E-02  4.19E-01  
29Si  2.63E-03  3.29E-03  1.20E-03  3.41E-03  4.01E-03  4.19E-04  1.91E-03  3.56E-03  
30Si  3.98E-03  4.74E-03  1.56E-03  5.19E-03  5.51E-03  3.26E-04  1.78E-03  3.56E-03  
31P   9.96E-04  1.28E-03  4.03E-04  1.24E-03  1.54E-03  1.37E-04  4.60E-04  1.19E-03  
32S   2.82E-03  6.44E-02  1.80E-03  5.52E-03  1.47E-01  1.61E-03  2.03E-03  1.95E-01  
33S   5.43E-05  2.33E-04  1.74E-05  1.51E-04  3.73E-04  1.08E-05  2.57E-05  4.04E-04  
34S   1.91E-04  7.42E-04  7.52E-05  4.64E-04  1.19E-03  2.74E-05  7.85E-05  1.14E-03  
35S   7.08E-07  9.69E-07  3.19E-07  8.38E-07  1.18E-06  2.55E-07  5.86E-07  1.13E-06  
36S   1.58E-06  1.61E-06  1.64E-06  2.30E-06  2.30E-06  1.80E-06  3.48E-06  3.52E-06  
35Cl  7.31E-05  1.45E-04  2.56E-05  1.00E-04  2.22E-04  8.55E-06  2.47E-05  2.04E-04  
36Cl  3.84E-07  1.09E-06  1.59E-07  5.59E-07  1.65E-06  9.64E-08  2.24E-07  1.78E-06  
37Cl  1.72E-05  1.74E-05  1.91E-05  2.36E-05  2.40E-05  2.20E-05  3.61E-05  3.66E-05  
36Ar  3.05E-04  1.24E-02  2.98E-04  4.58E-04  2.87E-02  3.25E-04  3.36E-04  3.81E-02  
37Ar  8.91E-07  1.17E-05  4.98E-07  2.14E-06  2.18E-05  3.31E-07  6.42E-07  2.32E-05  
38Ar  4.26E-05  2.52E-04  3.65E-05  6.55E-05  4.67E-04  3.67E-05  6.99E-05  4.66E-04  
40Ar  9.67E-07  9.52E-07  1.04E-06  1.47E-06  1.45E-06  1.16E-06  2.38E-06  2.36E-06  
39K   1.89E-05  7.27E-05  1.27E-05  2.48E-05  1.45E-04  1.05E-05  2.18E-05  1.56E-04  
40K   5.14E-07  5.38E-07  4.46E-07  6.67E-07  7.14E-07  4.59E-07  9.51E-07  1.00E-06  
41K   6.94E-07  6.91E-07  7.30E-07  9.05E-07  9.04E-07  8.31E-07  1.35E-06  1.35E-06  
40Ca  1.82E-04  1.14E-02  1.97E-04  2.04E-04  2.65E-02  2.19E-04  2.25E-04  3.45E-02  
41Ca  5.72E-07  4.09E-06  5.21E-07  7.04E-07  7.90E-06  4.86E-07  6.38E-07  8.60E-06  
42Ca  1.49E-06  7.13E-06  1.28E-06  2.03E-06  1.42E-05  1.27E-06  2.25E-06  1.37E-05  
43Ca  3.51E-07  5.11E-07  2.97E-07  4.61E-07  9.24E-07  2.99E-07  6.42E-07  1.78E-06  
44Ca  2.16E-06  2.14E-06  2.04E-06  2.60E-06  2.59E-06  2.15E-06  3.38E-06  3.38E-06  
45Ca  5.72E-08  5.64E-08  7.38E-08  1.09E-07  1.09E-07  9.07E-08  1.99E-07  1.98E-07  
46Ca  1.32E-08  1.29E-08  1.73E-08  2.79E-08  2.80E-08  2.00E-08  4.98E-08  4.96E-08  
47Ca  1.40E-10  1.38E-10  2.79E-10  4.75E-10  5.36E-10  2.91E-10  8.82E-10  9.15E-10  
48Ca  1.56E-09  1.56E-09  1.72E-09  1.77E-09  1.78E-09  1.93E-09  2.08E-09  2.09E-09  
43Sc  1.79E-09  1.60E-07  8.65E-10  2.68E-09  1.44E-06  2.42E-10  1.73E-09  6.49E-07  
